DESTINI_ID,Stone_ID,Deposit_ID,Location_Specific,Stone_ID,Stone_Type,Provenance_1,Colour,Deposit_ID,Deposit,Lower_Date,Upper_Date,Archaeological_Context
160,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
161,21,2,Aquileia,21,Bardiglio,Central_Italy_and_Liguria,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
162,22,2,Aquileia,22,Bigio_Antico,Greece_And_Aegean,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
163,22,2,Aquileia,22,Bigio_Antico,Greece_And_Aegean,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
164,22,2,Aquileia,22,Bigio_Antico,Greece_And_Aegean,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
165,22,2,Aquileia,22,Bigio_Antico,Greece_And_Aegean,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
166,22,2,Aquileia,22,Bigio_Antico,Greece_And_Aegean,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
167,22,2,Aquileia,22,Bigio_Antico,Greece_And_Aegean,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
168,22,2,Aquileia,22,Bigio_Antico,Greece_And_Aegean,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
169,22,2,Aquileia,22,Bigio_Antico,Greece_And_Aegean,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
170,22,2,Aquileia,22,Bigio_Antico,Greece_And_Aegean,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
171,22,2,Aquileia,22,Bigio_Antico,Greece_And_Aegean,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
172,22,2,Aquileia,22,Bigio_Antico,Greece_And_Aegean,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
173,22,2,Aquileia,22,Bigio_Antico,Greece_And_Aegean,Grey,2,Domus_delle_Bestie_Ferite,1,350,Decoration from a Late Antique Domus
